Nom de l'établissement,Note,Nombre d'avis,Catégorie,Adresse / résumé,Ville,Activité,URL Google Maps
Le Domaine des Butineuses,4.6,,Le Domaine des Butineuses,,Saint-Éliph+France,Hôtel avec spa,https://www.google.com/maps/place/Le+Domaine+des+Butineuses/data=!4m10!3m9!1s0x47e3d1596aca3883:0x2f6e08d40fa8ed08!5m2!4m1!1i2!8m2!3d48.5807235!4d0.7982327!16s%2Fg%2F11h79kc08f!19sChIJgzjKalnR40cRCO2oD9QIbi8?authuser=0&hl=fr&rclk=1
Le Relais des Vigiers,4.6,,SponsoriséPar Expedia.fr,,Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Le+Relais+des+Vigiers/data=!4m10!3m9!1s0x12aab8bd3a5fcbb7:0xf8461431a73ebcca!5m2!4m1!1i2!8m2!3d44.792413!4d0.289517!16s%2Fg%2F124sz7sbq!19sChIJt8tfOr24qhIRyrw-pzEURvg?authuser=0&hl=fr&rclk=1
LA COMBE FLEURIE,4.8,,LA COMBE FLEURIE,,Monestier-d'Ambel+France,Hôtel avec spa,https://www.google.com/maps/place/LA+COMBE+FLEURIE/data=!4m10!3m9!1s0x12cb47e156fb287d:0x64513e1d50adc10a!5m2!4m1!1i2!8m2!3d44.6845545!4d6.0847376!16s%2Fg%2F1tf83pf6!19sChIJfSj7VuFHyxIRCsGtUB0-UWQ?authuser=0&hl=fr&rclk=1
"Le Relais de Saint-Preuil, The Originals Relais",4.9,,"Le Relais de Saint-Preuil, The Originals Relais",,Brie-sous-Barbezieux+France,Hôtel avec spa,"https://www.google.com/maps/place/Le+Relais+de+Saint-Preuil,+The+Originals+Relais/data=!4m10!3m9!1s0x4800881d56502b3f:0x61e07405b83af8dd!5m2!4m1!1i2!8m2!3d45.600519!4d-0.1627599!16s%2Fg%2F1tfbmpq2!19sChIJPytQVh2IAEgR3fg6uAV04GE?authuser=0&hl=fr&rclk=1"
"La Suite Privée : Gite 2 personnes, spa/sauna/jacuzzi, weekend romantique, située à 1h de Paris, Proche Rouen, Normandie",4.8,,"La Suite Privée : Gite 2 personnes, spa/sauna/jacuzzi, weekend romantique, située à 1h de Paris, Proche Rouen, Normandie",,Saint-Élier+France,Hôtel avec spa,"https://www.google.com/maps/place/La+Suite+Priv%C3%A9e+:+Gite+2+personnes,+spa%2Fsauna%2Fjacuzzi,+weekend+romantique,+situ%C3%A9e+%C3%A0+1h+de+Paris,+Proche+Rouen,+Normandie/data=!4m10!3m9!1s0x47e147e95765fb23:0x91f12a25436a7609!5m2!4m1!1i2!8m2!3d49.031567!4d1.1331681!16s%2Fg%2F11hrxs76f1!19sChIJI_tlV-lH4UcRCXZqQyUq8ZE?authuser=0&hl=fr&rclk=1"
Château des Vigiers,4.7,,Château des Vigiers,,Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Ch%C3%A2teau+des+Vigiers/data=!4m10!3m9!1s0x12aab8bc4c0b40ef:0x38f68f9804518474!5m2!4m1!1i2!8m2!3d44.7916491!4d0.2863927!16s%2Fg%2F1ptx88vl9!19sChIJ70ALTLy4qhIRdIRRBJiP9jg?authuser=0&hl=fr&rclk=1
"Mas du lac- Gîte, Chalet, Roulotte, Gîte de groupe,avec piscine,spa et sauna, bord lac Sautet, proche parc des Écrins, Isére",4.8,,"Mas du lac- Gîte, Chalet, Roulotte, Gîte de groupe,avec piscine,spa et sauna, bord lac Sautet, proche parc des Écrins, Isére",,Monestier-d'Ambel+France,Hôtel avec spa,"https://www.google.com/maps/place/Mas+du+lac-+G%C3%AEte,+Chalet,+Roulotte,+G%C3%AEte+de+groupe,avec+piscine,spa+et+sauna,+bord+lac+Sautet,+proche+parc+des+%C3%89crins,+Is%C3%A9re/data=!4m10!3m9!1s0x12cb323d14aa356f:0x78b36c1270504b9e!5m2!4m1!1i2!8m2!3d44.7829216!4d5.9213378!16s%2Fg%2F11j03wkn1t!19sChIJbzWqFD0yyxIRnktQcBJss3g?authuser=0&hl=fr&rclk=1"
Le Patio bleu,5.0,,Le Patio bleu,,Brie-sous-Barbezieux+France,Hôtel avec spa,https://www.google.com/maps/place/Le+Patio+bleu/data=!4m10!3m9!1s0x47ffe92a64722be5:0x49adc63fb14efb01!5m2!4m1!1i2!8m2!3d45.280293!4d0.165837!16s%2Fg%2F11yjnskbc1!19sChIJ5StyZCrp_0cRAftOsT_GrUk?authuser=0&hl=fr&rclk=1
Enjoy your life - EVREUX,4.8,,Enjoy your life - EVREUX,,Saint-Élier+France,Hôtel avec spa,https://www.google.com/maps/place/Enjoy+your+life+-+EVREUX/data=!4m10!3m9!1s0x47e147be5a13e13f:0xe187a3e702b0d078!5m2!4m1!1i2!8m2!3d49.0310463!4d1.1536459!16s%2Fg%2F11jzffhxvm!19sChIJP-ETWr5H4UcReNCwAuejh-E?authuser=0&hl=fr&rclk=1
Le Relais des Vigiers,4.6,,Le Relais des Vigiers,,Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Le+Relais+des+Vigiers/data=!4m10!3m9!1s0x12aab8bd008f8e95:0xf8461431a73ebcca!5m2!4m1!1i2!8m2!3d44.7924131!4d0.2895166!16s%2Fg%2F124sz7sbq!19sChIJlY6PAL24qhIRyrw-pzEURvg?authuser=0&hl=fr&rclk=1
chambre d hotes Les bosquets Caugé,5.0,,chambre d hotes Les bosquets Caugé,,Saint-Élier+France,Hôtel avec spa,https://www.google.com/maps/place/chambre+d+hotes+Les+bosquets+Caug%C3%A9/data=!4m10!3m9!1s0x47e16b61bbf38803:0x17a8e29b8794a32a!5m2!4m1!1i2!8m2!3d49.021203!4d1.0377436!16s%2Fg%2F11ltwry2w0!19sChIJA4jzu2Fr4UcRKqOUh5viqBc?authuser=0&hl=fr&rclk=1
